winningTeam,blueTeamWardsPlaced,blueTeamKills,blueTeamTotalJungleMinionsKilled,blueTeamTotalMinionsKilled,blueTeamAvgLevel,blueTeamCsPerMinute,blueTeamGoldPerMinute,redTeamWardsDestroyed,redTeamKills,redTeamTotalJungleMinionsKilled,redTeamTotalMinionsKilled,redTeamAvgLevel,redTeamCsPerMinute,redTeamGoldPerMinute
0,26,6,69.6,215.3,8.14,18.99,1165.27,8,13,73.2,239.8,8.72,20.87,1414.41
1,41,12,66.5,240.7,8.26,20.48,1394.27,5,9,62.0,244.9,8.12,20.46,1249.56
1,32,13,82.6,244.4,8.74,21.8,1397.64,5,5,53.4,263.7,8.46,21.14,1236.93
1,27,20,78.9,243.6,9.0,21.5,1456.05,6,6,67.3,244.0,8.3,20.75,1315.33
0,135,6,63.8,238.6,8.3,20.16,1227.25,7,10,79.2,261.9,8.66,22.74,1367.91
0,59,6,75.8,260.8,8.58,22.44,1249.73,11,9,58.0,309.0,8.8,24.47,1430.45
0,28,9,65.8,244.6,8.22,20.69,1428.67,6,6,69.9,240.5,8.36,20.69,1251.47
0,34,7,72.5,211.5,8.2,18.93,1218.16,3,18,68.4,280.7,8.76,23.27,1536.39
0,35,5,57.5,240.0,8.42,19.83,1203.28,13,12,69.6,297.5,8.88,24.47,1407.92
1,31,22,75.5,306.6,9.14,25.47,1665.65,7,6,71.8,217.3,8.06,19.27,1245.7
1,37,19,70.6,288.9,8.9,23.97,1518.67,2,8,57.8,231.1,8.4,19.26,1230.25
1,36,5,78.0,279.3,8.62,23.82,1327.93,3,8,60.8,258.5,8.16,21.29,1263.21
0,18,11,64.6,263.1,8.7,21.85,1347.7,3,10,64.0,247.7,8.48,20.78,1329.49
0,237,5,81.4,251.0,8.66,22.16,1270.13,2,14,54.0,259.7,8.6,20.91,1323.26
1,28,10,64.8,287.4,8.62,23.48,1395.73,2,14,68.6,264.1,8.72,22.18,1424.89
0,28,5,88.2,290.2,8.72,25.23,1328.67,7,11,62.5,282.1,8.74,22.97,1373.45
1,32,10,91.5,258.9,8.82,23.36,1398.64,7,12,61.5,211.6,8.46,18.21,1281.36
1,290,9,60.4,284.3,8.52,22.98,1315.27,13,8,67.0,277.9,8.66,22.99,1269.84
1,23,10,68.0,262.7,8.72,22.05,1361.03,5,10,80.2,252.8,8.5,22.2,1409.48
0,27,16,64.7,249.9,8.6,20.97,1463.15,6,18,65.6,246.9,8.66,20.83,1420.53
1,20,13,65.5,274.9,8.82,22.69,1453.87,6,7,64.6,257.0,8.36,21.44,1248.21
1,43,17,65.8,251.0,8.64,21.12,1460.43,4,8,65.4,215.7,8.18,18.74,1210.32
0,31,7,68.6,260.9,8.52,21.97,1298.19,7,7,65.6,290.9,8.58,23.77,1290.88
0,138,8,64.4,267.9,8.44,22.15,1238.85,7,19,66.7,266.3,8.8,22.2,1522.85
0,21,4,52.2,250.9,7.96,20.21,1221.39,2,20,79.4,251.7,9.08,22.07,1585.55
0,26,8,74.9,268.1,8.82,22.87,1306.52,4,5,70.4,279.5,8.7,23.33,1266.67
0,27,13,50.8,271.0,8.5,21.45,1427.31,9,13,80.8,232.6,8.48,20.89,1448.83
0,25,5,54.0,251.5,8.34,20.37,1230.41,5,9,73.2,279.4,8.56,23.51,1354.19
1,45,14,72.4,235.4,8.66,20.52,1334.79,3,6,68.6,258.2,8.48,21.79,1198.49
1,53,15,63.2,263.4,8.7,21.77,1372.75,6,6,75.0,254.8,8.52,21.99,1290.43
0,25,6,74.6,249.2,8.46,21.59,1264.22,3,17,82.4,266.8,9.16,23.28,1494.48
1,59,10,71.4,248.4,8.28,21.32,1420.6,8,13,71.0,253.8,8.62,21.65,1441.0
0,30,8,73.2,251.5,8.54,21.65,1405.28,12,8,70.9,285.7,8.58,23.77,1356.93
1,24,17,64.9,263.0,8.7,21.86,1446.8,4,17,64.8,265.6,8.56,22.03,1485.35
0,32,10,57.2,262.4,8.52,21.31,1327.12,5,8,67.9,276.7,8.66,22.97,1344.73
0,31,11,68.5,238.8,8.56,20.49,1375.38,5,14,60.8,261.9,8.46,21.51,1391.07
1,141,3,66.4,272.6,8.38,22.6,1239.05,6,11,67.0,265.7,8.5,22.18,1359.4
1,149,13,61.0,240.0,8.62,20.07,1381.15,8,15,77.0,263.0,8.86,22.67,1447.5
1,290,16,53.3,226.0,8.36,18.62,1354.63,3,15,71.8,221.4,8.26,19.55,1349.59
0,179,12,60.4,259.0,8.48,21.29,1353.97,4,18,74.8,261.8,8.7,22.44,1537.03
0,69,4,69.8,274.1,8.36,22.93,1222.31,3,11,81.6,273.5,8.98,23.67,1386.84
1,23,12,73.6,273.6,8.56,23.15,1423.06,7,3,59.8,210.8,8.0,18.04,1140.37
1,31,21,88.7,236.5,8.82,21.68,1579.94,7,9,48.2,233.0,8.32,18.75,1339.49
1,43,9,68.4,232.5,8.16,20.06,1235.14,10,12,72.2,251.3,8.84,21.57,1449.59
1,42,9,70.2,279.3,8.62,23.3,1380.15,9,3,75.9,275.2,8.74,23.41,1247.54
0,40,11,73.2,237.6,8.5,20.72,1386.89,8,11,67.2,216.6,8.2,18.92,1313.27
1,25,10,54.8,223.2,8.1,18.53,1329.84,7,14,67.7,234.8,8.44,20.17,1437.36
1,21,12,53.6,203.6,8.1,17.15,1291.01,8,17,68.0,233.4,8.28,20.09,1380.85
1,42,17,66.5,235.9,8.4,20.16,1433.68,2,15,65.2,251.5,8.54,21.11,1471.49
0,37,7,56.0,235.6,8.38,19.44,1245.49,5,15,72.9,269.5,8.74,22.83,1475.47
0,15,7,91.6,246.1,8.54,22.51,1316.32,2,16,69.2,263.7,8.74,22.19,1504.65
0,16,11,61.2,226.9,8.42,19.21,1375.49,2,19,71.8,240.4,8.78,20.81,1521.78
1,126,17,83.9,258.5,8.78,22.83,1474.95,5,12,57.6,256.4,8.42,20.93,1360.61
0,28,9,50.5,263.8,8.38,20.95,1270.09,2,15,72.5,250.4,8.7,21.53,1437.69
0,38,10,66.0,254.1,8.64,21.34,1296.48,5,11,70.0,239.1,8.5,20.61,1406.61
1,48,12,74.3,246.5,8.6,21.39,1389.89,4,13,64.2,285.4,8.76,23.31,1499.33
0,20,9,66.1,261.4,8.76,21.83,1307.97,3,8,59.8,260.7,8.44,21.37,1299.55
1,29,6,89.3,238.8,8.7,21.87,1241.63,6,9,75.2,293.2,8.64,24.56,1379.09
0,196,8,61.6,262.8,8.44,21.63,1330.15,5,13,73.3,303.5,8.9,25.12,1486.67
0,27,12,74.0,213.6,8.44,19.17,1347.17,4,12,58.6,258.3,8.56,21.13,1356.11
1,34,16,73.0,260.4,8.72,22.23,1529.49,4,7,71.1,208.3,8.04,18.63,1240.62
1,153,9,77.3,260.0,8.78,22.49,1310.22,8,12,78.8,256.2,8.84,22.33,1414.68
1,38,11,63.8,270.7,8.6,22.3,1379.43,5,7,71.6,281.0,8.76,23.51,1375.77
0,27,4,73.6,272.6,8.48,23.08,1286.07,7,12,86.6,267.7,8.9,23.62,1403.75
1,25,7,73.0,287.8,8.72,24.05,1338.57,7,9,86.0,265.9,8.68,23.46,1341.92
0,22,10,71.1,251.1,8.54,21.48,1305.91,1,12,65.7,235.1,8.66,20.05,1360.37
1,19,13,75.1,235.4,8.68,20.7,1352.66,4,10,65.0,261.2,8.36,21.75,1278.45
0,19,11,76.5,247.2,8.88,21.58,1334.61,6,9,69.4,230.0,8.56,19.96,1223.18
1,261,18,70.6,277.8,8.86,23.23,1567.85,10,8,57.2,200.0,8.16,17.15,1188.33
1,190,6,66.7,253.2,8.42,21.33,1320.34,5,8,58.6,260.8,8.36,21.29,1339.43
1,127,10,49.4,267.1,8.32,21.1,1399.12,3,8,57.3,241.9,8.14,19.95,1166.43
1,22,10,63.0,270.1,8.52,22.21,1295.99,3,15,68.8,257.5,8.54,21.75,1418.34
1,147,24,66.4,212.3,8.24,18.58,1604.47,3,8,53.8,199.8,7.82,16.91,1245.03
1,21,13,87.4,269.5,8.98,23.79,1474.78,5,11,68.3,241.0,8.48,20.62,1365.28
1,60,14,67.8,261.1,8.62,21.93,1373.73,6,6,76.0,219.3,8.52,19.69,1209.01
1,27,12,63.6,199.7,8.42,17.55,1320.25,3,9,70.4,241.8,8.5,20.81,1289.65
0,28,10,62.3,235.8,8.24,19.87,1316.89,2,16,73.0,233.4,8.6,20.43,1526.31
0,70,9,77.4,205.3,8.36,18.85,1242.37,7,8,82.8,238.5,8.66,21.42,1303.73
0,59,10,62.4,216.9,8.28,18.62,1281.45,4,15,66.8,231.7,8.58,19.9,1529.64
0,28,10,71.4,227.6,8.38,19.93,1337.56,6,12,73.0,227.8,8.54,20.05,1305.13
0,22,13,60.6,186.8,8.12,16.49,1329.15,3,16,80.2,241.5,8.64,21.45,1582.69
0,32,13,59.6,223.7,8.36,18.89,1316.93,9,14,81.1,274.3,8.66,23.69,1527.37
0,30,4,0.3,249.8,7.74,16.67,1140.78,7,25,73.8,270.9,8.8,22.98,1471.94
0,66,12,54.2,240.7,8.32,19.66,1275.88,22,11,71.0,246.8,8.4,21.19,1415.72
1,27,8,79.0,211.8,8.46,19.39,1223.29,5,13,67.4,209.6,8.56,18.47,1387.93
1,25,21,78.0,252.4,8.56,22.03,1554.68,5,9,57.0,208.2,7.7,17.68,1261.69
0,309,10,69.4,257.0,8.42,21.76,1361.05,4,16,65.9,233.3,8.58,19.95,1488.09
1,74,10,64.0,268.6,8.48,22.17,1392.39,32,11,67.2,248.3,8.4,21.03,1323.09
0,40,9,61.3,261.5,8.58,21.52,1264.15,8,12,77.4,237.0,8.7,20.96,1303.55
0,29,13,66.4,252.6,8.7,21.27,1350.51,6,12,56.4,244.5,8.3,20.06,1410.99
1,29,10,65.2,234.3,8.58,19.97,1237.05,1,6,77.9,260.4,8.68,22.55,1304.16
0,27,7,66.5,241.0,8.34,20.5,1237.27,4,11,72.7,241.2,8.62,20.93,1354.1
0,27,6,65.8,218.2,8.62,18.93,1197.49,6,6,66.4,248.9,8.64,21.02,1264.69
1,36,15,66.4,209.5,8.12,18.39,1401.99,10,13,71.6,250.6,8.64,21.48,1390.08
0,283,13,72.5,221.4,8.42,19.59,1331.91,5,12,61.0,239.5,8.74,20.03,1400.57
1,22,9,60.2,260.2,8.52,21.36,1287.22,5,9,70.8,251.5,8.58,21.49,1329.17
1,23,10,72.6,254.2,8.56,21.79,1371.76,4,19,56.0,248.4,8.62,20.29,1497.87
0,31,10,74.4,253.4,8.58,21.85,1374.39,6,9,71.2,270.3,8.56,22.77,1342.51
0,25,9,72.4,239.7,8.38,20.81,1414.89,7,3,60.3,220.3,7.8,18.71,1136.87
1,41,7,60.4,265.0,8.14,21.69,1317.63,8,10,48.6,258.8,8.38,20.49,1357.15
1,26,11,46.1,251.8,8.46,19.86,1337.29,2,10,56.8,226.5,8.14,18.89,1337.26
1,29,19,65.2,237.6,8.6,20.19,1492.21,7,14,73.1,227.3,8.34,20.03,1461.18
0,31,18,43.6,253.6,8.52,19.81,1572.09,4,12,67.2,231.1,8.28,19.89,1389.74
1,21,13,66.6,265.7,8.42,22.15,1409.61,5,8,63.6,243.4,8.22,20.47,1271.5
0,27,7,62.8,264.7,8.42,21.83,1313.67,7,13,59.4,244.0,8.42,20.23,1395.26
0,30,13,47.2,262.6,8.28,20.65,1443.49,9,7,59.8,241.1,8.28,20.06,1278.04
0,129,10,60.6,268.9,8.66,21.97,1379.34,9,9,57.0,235.5,8.14,19.5,1309.91
0,57,12,56.6,239.3,8.42,19.73,1396.81,4,13,73.7,224.1,8.46,19.85,1403.51
1,35,11,70.3,251.5,8.54,21.45,1336.04,3,14,61.9,253.2,8.56,21.01,1365.51
1,44,12,69.5,207.9,8.4,18.49,1326.81,2,10,56.7,223.4,8.46,18.67,1225.95
0,33,14,56.4,235.0,8.46,19.43,1335.59,7,17,66.2,246.6,8.54,20.85,1435.74
0,26,8,51.6,231.5,8.22,18.87,1216.21,7,9,75.0,248.8,8.88,21.59,1376.07
0,39,10,62.4,230.0,8.36,19.49,1240.06,2,8,71.7,264.9,8.44,22.44,1335.28
1,21,10,53.0,228.9,8.16,18.79,1281.61,1,9,66.4,218.7,8.3,19.01,1311.15
0,146,4,82.6,278.1,8.52,24.05,1317.58,8,7,59.2,278.6,8.68,22.52,1329.01
1,67,24,59.2,210.1,8.34,17.95,1562.58,7,11,64.6,223.1,8.18,19.18,1379.45
0,25,9,66.1,252.3,8.22,21.23,1368.1,7,9,68.9,269.2,8.32,22.54,1339.91
0,31,8,55.7,228.7,8.2,18.96,1312.09,4,11,70.8,223.3,8.32,19.61,1316.69
0,28,12,75.3,245.1,8.66,21.36,1380.08,7,13,52.0,254.9,8.4,20.46,1382.45
0,23,7,63.2,215.0,8.32,18.55,1219.57,7,7,63.3,279.5,8.42,22.85,1299.48
1,29,11,74.4,204.0,8.12,18.56,1288.02,3,14,67.0,216.7,8.36,18.91,1364.47
0,26,11,56.9,202.2,8.24,17.27,1265.94,8,17,71.7,251.0,8.64,21.51,1526.02
0,27,5,66.8,275.9,8.3,22.85,1311.77,3,8,82.2,282.7,8.74,24.33,1321.95
1,35,13,70.5,273.9,8.52,22.96,1516.26,5,8,63.8,225.0,8.1,19.25,1293.25
1,25,9,60.7,285.6,8.64,23.09,1341.23,9,2,63.1,231.3,8.24,19.63,1127.54
1,32,15,57.4,254.6,8.7,20.8,1448.08,11,11,64.3,266.3,8.56,22.04,1340.93
1,31,11,67.2,245.8,8.44,20.87,1354.65,3,8,60.6,268.0,8.5,21.91,1329.66
1,26,19,58.8,243.6,8.6,20.16,1605.16,5,6,72.0,208.7,8.04,18.71,1258.76
1,27,11,60.9,243.5,8.4,20.29,1352.52,5,10,55.2,199.4,8.16,16.97,1272.63
1,25,12,64.7,244.4,8.38,20.61,1361.31,3,11,86.2,254.2,8.72,22.69,1386.06
0,40,7,66.8,218.0,8.26,18.99,1315.24,7,16,50.8,238.3,8.28,19.27,1546.55
1,38,10,63.6,245.0,8.06,20.57,1333.5,13,12,51.5,255.3,8.24,20.45,1349.29
0,36,7,56.0,242.9,8.18,19.93,1284.55,7,22,56.4,275.0,8.72,22.09,1606.23
0,66,11,52.8,254.9,8.46,20.51,1378.2,5,11,70.3,254.8,8.3,21.67,1351.61
1,45,9,77.2,305.2,8.66,25.49,1414.53,7,7,70.8,255.4,8.36,21.75,1278.81
0,27,9,63.1,254.4,8.5,21.17,1328.62,5,12,63.6,272.2,8.52,22.39,1355.63
1,26,15,74.2,247.0,8.7,21.41,1474.42,2,3,67.0,255.6,8.32,21.51,1198.57
0,53,6,81.2,247.5,8.38,21.91,1247.07,7,11,57.8,259.1,8.62,21.13,1357.95
0,25,15,57.0,246.1,8.42,20.21,1428.23,3,11,81.8,255.7,8.64,22.5,1362.97
1,42,14,77.2,269.8,8.8,23.13,1474.56,4,15,60.0,281.2,8.6,22.75,1504.2
1,22,16,78.0,251.0,8.58,21.93,1514.69,5,15,62.8,244.7,8.5,20.5,1429.1
1,29,10,70.4,280.7,8.6,23.41,1419.87,7,12,77.2,200.7,8.34,18.53,1266.49
0,33,6,72.0,283.6,8.7,23.71,1293.97,2,7,79.8,287.5,8.86,24.49,1263.85
1,18,19,70.8,256.2,8.64,21.8,1527.23,3,7,64.9,220.7,8.36,19.04,1243.61
1,22,11,81.3,229.0,8.76,20.69,1293.57,3,12,68.2,230.3,8.62,19.9,1344.13
0,81,9,72.6,253.3,8.64,21.73,1324.64,3,11,65.8,253.8,8.56,21.31,1342.5
0,39,21,63.8,242.1,8.82,20.39,1518.91,12,14,59.4,259.0,8.6,21.23,1418.37
1,27,10,66.8,245.6,8.44,20.83,1376.83,3,11,66.9,264.2,8.7,22.07,1363.85
1,24,12,72.0,261.4,8.8,22.23,1401.5,5,8,73.6,261.8,8.62,22.36,1278.13
1,34,14,78.3,256.8,8.74,22.34,1436.13,5,4,59.9,225.2,8.38,19.01,1147.44
0,23,11,64.3,238.1,8.38,20.16,1345.81,5,15,74.0,247.0,8.96,21.4,1410.83
1,99,16,66.0,254.3,8.82,21.35,1388.23,4,5,65.6,251.8,8.26,21.16,1180.58
0,27,20,55.9,245.7,8.6,20.11,1553.21,6,11,82.3,241.6,8.26,21.59,1335.75
1,25,9,72.6,272.5,8.66,23.01,1335.67,9,10,67.0,252.1,8.66,21.27,1272.1
0,67,11,64.6,252.7,8.6,21.15,1293.17,4,12,77.4,252.2,8.58,21.97,1367.0
0,26,14,56.6,225.0,7.94,18.77,1435.51,2,19,61.8,217.6,8.32,18.63,1541.95
0,28,14,71.4,296.4,8.8,24.52,1449.13,11,11,67.6,243.4,8.5,20.73,1335.69
0,24,5,63.0,251.0,8.32,20.93,1243.47,9,5,66.8,279.3,8.6,23.07,1272.79
1,54,21,56.7,248.5,8.72,20.35,1471.75,6,9,69.4,225.3,8.22,19.65,1292.35
0,35,6,68.9,235.6,8.14,20.3,1229.56,3,14,65.8,267.3,8.64,22.21,1459.77
1,290,17,60.6,247.0,8.4,20.51,1477.23,3,14,59.7,236.0,8.52,19.71,1408.11
0,28,11,57.3,246.4,8.22,20.25,1284.94,7,18,76.0,293.9,8.88,24.66,1515.48
0,27,6,69.6,245.9,8.26,21.03,1291.73,7,17,46.8,275.4,8.64,21.48,1498.82
0,61,12,78.8,243.5,8.9,21.49,1395.63,15,13,67.7,250.8,8.74,21.23,1335.92
1,34,21,70.8,277.6,8.88,23.23,1569.49,5,7,63.9,236.9,8.18,20.05,1245.35
1,84,21,70.4,213.5,8.38,18.93,1459.78,3,10,55.6,211.5,7.96,17.81,1312.5
0,25,9,69.2,241.8,8.44,20.73,1313.04,6,13,79.0,251.3,8.6,22.02,1457.13
0,27,19,64.9,278.9,8.84,22.92,1523.43,3,8,72.0,220.8,8.48,19.52,1286.99
0,37,6,78.8,275.2,8.6,23.6,1239.27,12,9,66.8,267.2,8.54,22.27,1348.68
0,48,9,75.6,234.8,8.5,20.69,1345.42,7,8,72.9,268.9,8.5,22.79,1343.07
1,27,10,64.6,278.0,8.46,22.84,1363.56,5,7,67.6,278.7,8.56,23.09,1275.29
1,39,12,62.4,285.2,8.52,23.17,1457.43,6,15,67.8,265.7,8.6,22.23,1443.55
0,19,10,71.8,257.1,8.72,21.93,1373.09,3,21,78.2,285.6,9.18,24.25,1540.11
1,26,7,53.2,258.4,8.28,20.77,1241.69,4,11,90.2,297.7,9.14,25.86,1495.81
0,20,24,82.6,241.9,8.92,21.63,1650.37,3,10,80.4,226.4,8.2,20.45,1337.28
1,25,14,70.8,240.8,8.62,20.77,1391.25,4,18,55.2,290.2,8.88,23.03,1508.37
1,28,15,80.5,276.2,8.88,23.78,1457.56,6,3,63.5,205.3,7.54,17.92,1127.27
0,17,16,73.4,257.6,8.78,22.07,1425.37,6,17,74.6,275.5,9.0,23.34,1535.41
1,25,12,72.5,298.8,8.8,24.75,1470.73,3,8,79.1,256.9,8.54,22.4,1297.87
0,26,12,63.2,271.2,8.28,22.29,1342.49,11,19,52.0,281.3,8.48,22.22,1509.14
1,22,17,59.6,235.8,8.52,19.69,1418.09,2,15,63.2,257.3,8.62,21.37,1425.31
0,24,6,89.4,259.9,8.5,23.29,1273.65,4,15,53.4,248.9,8.6,20.15,1390.75
1,22,16,67.0,248.4,8.66,21.03,1512.86,4,14,61.2,225.8,8.24,19.13,1415.36
0,25,6,77.6,265.7,8.68,22.89,1240.94,5,14,77.0,244.3,8.86,21.42,1440.24
0,19,11,59.4,216.3,7.76,18.38,1328.45,4,23,69.2,258.3,8.52,21.83,1661.59
1,33,13,75.0,264.2,8.56,22.61,1505.01,6,14,55.3,276.4,8.4,22.11,1441.76
1,28,16,71.2,275.8,9.04,23.13,1479.65,3,4,66.3,238.6,8.36,20.33,1171.18
0,28,17,62.2,232.0,8.28,19.61,1493.48,9,22,51.6,263.6,8.5,21.01,1676.24
0,68,6,69.5,266.4,8.64,22.39,1326.4,9,9,52.4,273.6,8.72,21.73,1363.51
0,32,12,61.5,249.9,8.6,20.76,1405.25,12,8,70.7,229.6,8.4,20.02,1291.53
1,91,9,79.8,259.5,8.58,22.62,1305.36,8,15,60.2,210.2,8.52,18.03,1417.69
0,30,21,72.4,209.3,8.38,18.78,1567.99,4,12,59.6,242.6,8.3,20.15,1435.91
1,28,13,72.1,255.3,8.62,21.83,1424.93,4,18,66.0,285.2,8.74,23.41,1521.07
1,28,10,79.8,276.4,8.72,23.75,1444.11,8,7,69.6,233.0,8.5,20.17,1267.54
1,49,17,79.1,252.3,8.76,22.09,1543.57,3,10,62.3,248.2,8.4,20.7,1343.09
1,21,16,74.8,236.8,8.58,20.77,1424.36,1,16,69.4,241.9,8.64,20.75,1470.65
1,25,7,67.3,278.3,8.68,23.04,1317.03,6,4,71.2,233.6,8.32,20.32,1170.71
1,37,11,61.5,260.2,8.5,21.45,1313.41,1,3,63.5,224.8,8.16,19.22,1121.33
1,42,7,77.8,259.7,8.58,22.5,1351.87,5,2,62.8,224.6,8.22,19.16,1120.34
1,23,5,61.2,240.2,8.1,20.09,1260.91,3,13,54.2,237.5,8.38,19.45,1381.5
0,29,11,64.6,235.9,8.46,20.03,1358.18,5,13,67.2,213.8,8.28,18.73,1377.82
0,43,9,73.3,267.0,8.52,22.69,1349.83,5,19,76.0,239.3,8.52,21.02,1517.91
1,269,14,53.4,239.9,8.34,19.55,1356.21,8,11,69.6,256.2,8.34,21.72,1340.16
0,26,11,68.0,276.9,8.64,22.99,1406.81,8,12,65.0,245.2,8.54,20.68,1367.23
1,63,13,49.2,255.3,8.32,20.3,1364.37,5,9,67.3,261.1,8.3,21.89,1379.37
1,28,21,66.8,253.0,8.68,21.32,1628.48,6,12,86.2,244.0,8.64,22.01,1389.78
1,29,9,64.2,291.3,8.7,23.7,1380.85,5,9,66.8,263.8,8.56,22.04,1298.36
0,31,7,78.0,274.7,8.76,23.51,1310.22,8,13,62.0,243.6,8.56,20.37,1372.07
0,21,15,72.4,267.2,8.76,22.64,1483.93,4,17,66.2,265.4,8.64,22.11,1417.02
1,27,6,83.4,247.2,8.42,22.04,1284.57,10,11,89.7,228.7,8.6,21.23,1280.3
1,61,13,50.7,280.6,8.52,22.09,1486.83,5,6,44.8,214.2,7.78,17.27,1190.35
0,58,10,65.4,229.9,8.34,19.69,1237.38,6,15,67.1,260.1,8.44,21.81,1504.75
0,23,12,77.0,259.4,8.66,22.43,1401.65,5,8,69.2,271.9,8.52,22.74,1344.67
1,80,15,83.6,284.1,8.94,24.51,1526.99,30,5,65.8,252.3,8.18,21.21,1237.41
0,37,18,63.4,230.5,8.32,19.59,1432.58,7,16,62.2,279.8,8.6,22.8,1525.21
1,29,18,66.3,215.3,8.12,18.77,1349.63,6,15,68.8,229.8,8.4,19.91,1469.93
0,29,8,69.9,272.8,8.5,22.85,1338.84,8,9,64.7,266.3,8.56,22.07,1346.81
1,27,13,69.7,262.7,8.62,22.16,1388.58,7,8,72.3,273.8,8.52,23.07,1375.57
0,370,13,67.3,238.0,8.3,20.35,1397.71,10,22,66.2,246.0,8.38,20.81,1507.58
1,30,9,76.6,266.1,8.62,22.85,1377.84,6,8,47.3,243.0,7.84,19.35,1222.65
1,24,11,74.8,275.5,8.76,23.35,1528.67,1,10,73.8,222.4,8.46,19.75,1288.47
0,66,6,42.6,256.2,8.2,19.92,1270.45,4,24,68.3,270.7,8.9,22.6,1631.93
0,26,13,64.0,238.1,8.64,20.14,1320.03,8,14,69.6,260.4,8.64,22.0,1470.77
1,17,12,69.4,268.7,8.86,22.54,1359.03,5,12,64.9,260.9,8.74,21.72,1469.75
1,27,13,70.6,249.2,8.6,21.32,1512.3,1,6,69.6,253.0,8.24,21.51,1346.15
1,25,14,81.6,247.7,8.44,21.95,1484.59,7,9,43.2,206.5,7.84,16.65,1198.19
1,31,11,66.6,252.5,8.48,21.27,1324.24,7,4,62.3,264.6,8.28,21.79,1271.57
0,24,3,65.9,279.9,8.42,23.05,1229.25,5,11,70.4,270.2,8.74,22.71,1390.86
0,32,7,67.2,268.7,8.54,22.39,1310.15,5,6,70.4,226.2,8.44,19.77,1169.71
1,33,13,59.6,272.3,8.44,22.13,1447.33,10,14,78.5,243.8,8.58,21.49,1463.51
0,23,12,39.2,215.7,8.1,16.99,1267.55,4,24,77.5,284.2,9.0,24.11,1644.39
0,32,6,60.9,273.2,8.44,22.27,1246.76,9,6,80.2,275.9,8.84,23.74,1310.67
1,63,8,85.6,246.9,8.6,22.17,1289.69,5,11,56.4,266.0,8.82,21.49,1389.16
0,21,12,73.4,254.0,8.58,21.83,1306.01,3,11,77.0,243.9,8.82,21.39,1412.32
1,83,20,67.6,227.9,8.68,19.7,1456.77,6,7,73.4,220.9,8.3,19.62,1235.09
0,20,8,68.2,302.9,8.72,24.74,1372.61,6,9,66.0,289.8,8.8,23.72,1406.69
1,41,9,71.3,247.7,8.48,21.27,1288.45,5,11,64.0,251.6,8.46,21.04,1420.76
0,166,14,64.6,271.8,8.8,22.43,1443.66,4,7,78.3,290.1,8.66,24.56,1311.58
1,25,22,76.2,252.6,8.84,21.92,1557.45,4,10,62.8,249.5,8.34,20.82,1424.27
1,34,13,52.8,274.8,8.46,21.84,1464.22,12,7,70.4,254.9,8.42,21.69,1336.27
0,34,12,57.2,218.1,8.6,18.35,1308.55,4,13,73.2,260.3,8.76,22.23,1425.69
0,136,11,85.6,242.8,8.86,21.89,1421.17,13,16,63.8,268.9,8.58,22.18,1564.01
1,27,14,98.2,287.1,9.28,25.69,1519.02,6,1,75.8,276.6,8.3,23.49,1184.96
0,25,8,60.6,215.4,8.16,18.4,1259.27,7,13,89.3,288.8,8.9,25.21,1517.39
1,33,19,58.6,244.0,8.44,20.17,1662.76,10,15,58.4,203.9,7.86,17.49,1511.31
1,81,12,60.8,258.2,8.48,21.27,1399.1,12,8,73.2,248.3,8.42,21.43,1312.4
0,42,7,74.4,208.2,8.14,18.84,1228.39,9,17,59.8,294.5,8.76,23.62,1540.91
0,36,8,73.3,259.7,8.56,22.2,1374.87,8,13,58.4,256.2,8.44,20.97,1483.84
0,23,13,76.3,245.7,8.74,21.47,1470.99,11,17,72.8,246.3,8.66,21.27,1422.56
0,27,16,79.6,272.0,8.76,23.44,1462.32,7,9,59.2,275.1,8.4,22.29,1282.57
0,25,9,39.8,291.8,8.42,22.11,1371.77,7,17,95.5,263.0,8.9,23.9,1575.91
0,20,16,63.8,260.0,8.68,21.59,1482.48,3,15,46.4,272.2,8.5,21.24,1436.25
0,152,19,69.8,232.4,8.54,20.15,1517.03,4,15,60.7,239.2,8.48,19.99,1459.95
0,324,7,62.0,249.5,8.46,20.77,1283.01,11,12,71.6,250.8,8.56,21.49,1333.53
0,23,7,78.6,220.3,8.62,19.93,1296.55,8,14,92.0,255.8,9.0,23.19,1506.38
1,349,10,83.7,282.3,8.88,24.4,1496.21,9,17,62.4,213.5,8.48,18.39,1459.6
0,35,17,70.8,239.5,8.6,20.69,1525.35,7,13,44.4,237.3,8.08,18.78,1334.29
1,27,6,51.5,287.7,8.56,22.61,1283.21,6,8,71.4,272.6,8.8,22.93,1334.53
1,32,14,57.8,287.8,8.54,23.04,1547.19,3,9,54.3,215.1,8.26,17.96,1314.21
0,32,15,73.3,238.9,8.52,20.81,1492.27,9,18,76.8,220.0,8.52,19.79,1434.3
0,31,17,66.9,288.7,8.84,23.71,1487.35,6,10,72.6,247.0,8.66,21.31,1296.43
1,59,15,61.2,274.2,8.62,22.36,1505.83,11,8,59.6,245.5,8.42,20.34,1268.37
0,21,10,58.9,295.0,8.6,23.59,1394.95,7,11,67.4,268.4,8.7,22.39,1388.21
1,41,20,74.4,232.7,8.5,20.47,1444.75,7,12,47.2,296.4,8.48,22.91,1465.3
0,113,10,62.7,294.1,8.64,23.79,1349.26,8,13,64.9,288.8,8.6,23.58,1520.29
